Re,S,Lambda,regime,converged,viscosity_ratio
100,0.005,0.0,laminar,True,7.315999397014934
100,0.005,0.01,laminar,True,7.27639833343019
100,0.005,0.05,laminar,True,7.169165937193002
100,0.005,0.1,laminar,True,7.096463412908685
100,0.005,0.25,laminar,True,7.039839565473324
100,0.005,0.5,laminar,True,7.059833851819342
100,0.005,1.0,laminar,True,7.228890608974833
100,0.005,2.0,laminar,True,7.304861711380014
100,0.005,5.0,laminar,True,7.315882344123425
100,0.01,0.0,laminar,True,7.315999397014934
100,0.01,0.01,laminar,True,7.300117647342099
100,0.01,0.05,laminar,True,7.255202212654627
100,0.01,0.1,laminar,True,7.2233197196040235
100,0.01,0.25,laminar,True,7.197342807909821
100,0.01,0.5,laminar,True,7.222604716244548
100,0.01,1.0,laminar,True,7.2788002811455
100,0.01,2.0,laminar,True,7.311126093457972
100,0.01,5.0,laminar,True,7.315899029494724
100,0.05,0.0,laminar,True,7.315999397014934
100,0.05,0.01,laminar,True,7.315931620849539
100,0.05,0.05,laminar,True,7.315722594042817
100,0.05,0.1,laminar,True,7.315559138860045
100,0.05,0.25,laminar,True,7.3154055896100285
100,0.05,0.5,laminar,True,7.315509459495344
100,0.05,1.0,laminar,True,7.315754748256145
100,0.05,2.0,laminar,True,7.315890708749954
100,0.05,5.0,laminar,True,7.315911281368023
100,0.1,0.0,laminar,True,7.315999397014934
100,0.1,0.01,laminar,True,7.315994484951157
100,0.1,0.05,laminar,True,7.315977182971689
100,0.1,0.1,laminar,True,7.315960188070533
100,0.1,0.25,laminar,True,7.3159305736389095
100,0.1,0.5,laminar,True,7.3159148339372
100,0.1,1.0,laminar,True,7.315911248433868
100,0.1,2.0,laminar,True,7.315911344608598
100,0.1,5.0,laminar,True,7.315911334357616
100,0.5,0.0,laminar,True,7.315999397014934
100,0.5,0.01,laminar,True,7.315995336160411
100,0.5,0.05,laminar,True,7.315980662426111
100,0.5,0.1,laminar,True,7.315965602435338
100,0.5,0.25,laminar,True,7.31593698990415
100,0.5,0.5,laminar,True,7.315918589604838
100,0.5,1.0,laminar,True,7.315911862116941
100,0.5,2.0,laminar,True,7.315911323275777
