Re,S,Lambda,regime,converged,viscosity_ratio
300.0,0.005,0.029,laminar,True,9.592792788639462
300.0,0.005,0.03,laminar,True,9.578426422415438
300.0,0.005,0.031,laminar,True,9.564794818261303
300.0,0.005,0.032,laminar,True,9.550833411522063
300.0,0.005,0.25,turbulent,True,13.674488955904398
300.0,0.005,0.65,laminar,True,8.165600781332612
300.0,0.005,0.66,laminar,True,8.188556115949588
300.0,0.005,0.67,laminar,True,8.212318499673396
300.0,0.005,0.75,turbulent,True,15.943876770712766
300.0,0.005,1.25,laminar,True,9.330552649820278
300.0,0.005,2.5,turbulent,True,18.42413327635177
300.0,0.01,0.062,laminar,True,9.564601097832277
300.0,0.01,0.065,laminar,True,9.544928751096403
300.0,0.01,0.13,laminar,True,9.21361915102038
300.0,0.01,0.135,laminar,True,9.193788111065041
300.0,0.01,0.14,laminar,True,9.174516088668588
500.0,0.005,0.1,turbulent,True,12.68950204066272
500.0,0.005,0.35789473684210527,turbulent,True,10.416838829801305
500.0,0.005,0.5,laminar,True,8.798339740471253
500.0,0.005,0.6157894736842106,laminar,True,8.466674705749002
500.0,0.005,0.8736842105263158,laminar,True,8.507154181448565
500.0,0.005,1.1315789473684212,laminar,True,9.325256118364262
500.0,0.005,1.25,turbulent,True,19.764187756887914
500.0,0.005,1.3894736842105266,turbulent,True,10.545491213024015
500.0,0.005,1.905263157894737,turbulent,True,12.543150985298828
500.0,0.005,2.0,turbulent,True,25.143094203475343
500.0,0.005,2.421052631578948,turbulent,True,13.613014623482924
500.0,0.005,3.0,turbulent,True,28.44878899455819
500.0,0.01,0.25,turbulent,True,12.367290796707547
500.0,0.01,0.6710526315789475,turbulent,True,10.98701962644406
500.0,0.01,0.75,turbulent,True,10.93296051521241
500.0,0.01,0.8263157894736843,turbulent,True,10.942575384403668
500.0,0.01,1.25,turbulent,True,22.427896907074192
500.0,0.01,1.2921052631578949,turbulent,True,11.695751377667843
500.0,0.01,1.4473684210526316,turbulent,True,12.261270389713776
500.0,0.01,2.068421052631579,turbulent,True,13.604241408333372
500.0,0.01,2.223684210526316,turbulent,True,13.928160344890454
500.0,0.01,2.3789473684210525,turbulent,True,14.199851495297091
500.0,0.01,2.5,turbulent,True,27.75475541398743
750.0,0.005,0.1,turbulent,True,24.452223488900398
750.0,0.005,0.35789473684210527,laminar,True,8.778298773772558
750.0,0.005,0.5,laminar,True,6.5748181131819665
750.0,0.005,1.5,laminar,True,7.329003271542544
750.0,0.005,1.6473684210526318,laminar,True,8.269887981552248
750.0,0.005,1.905263157894737,turbulent,True,10.081764550343209
750.0,0.005,2.1631578947368424,turbulent,True,11.927801274127614
750.0,0.005,2.421052631578948,turbulent,True,13.360991243353064
750.0,0.005,3.0,turbulent,True,15.536998507856296
750.0,0.01,0.1,turbulent,True,30.995569611054528
750.0,0.01,0.46578947368421053,turbulent,True,13.087031566164073
750.0,0.01,0.5,turbulent,True,18.50135832198084
750.0,0.01,0.6736842105263159,turbulent,True,11.955348442639673
750.0,0.01,0.8815789473684211,turbulent,True,11.478463373827736
750.0,0.01,1.0894736842105264,turbulent,True,11.255437857750643
750.0,0.01,1.2973684210526317,turbulent,True,11.452141042127035
750.0,0.01,1.5,turbulent,True,11.782605145937078
750.0,0.01,1.5052631578947369,turbulent,True,11.798152917389988
750.0,0.01,1.9210526315789476,turbulent,True,13.368070608568896
750.0,0.01,2.1289473684210525,turbulent,True,14.24379815726546
750.0,0.01,3.5,turbulent,True,18.300215362664012
1000.0,0.005,0.1,turbulent,True,19.10015120587726
1000.0,0.005,0.26,turbulent,True,10.729497637858474
1000.0,0.005,0.27,turbulent,True,10.340236364589279
1000.0,0.005,0.28,laminar,True,9.904464109924984
1000.0,0.005,0.5,laminar,True,4.8558421859973055
1000.0,0.005,1.5,laminar,True,3.7394668480692173
1000.0,0.005,2.0,laminar,True,5.681089659727577
1000.0,0.005,2.5,laminar,True,9.503986821063796
1000.0,0.005,2.6,turbulent,True,10.360519395531938
1000.0,0.005,2.7,turbulent,True,11.22273609684452
1000.0,0.005,2.8,turbulent,True,12.078603109203792
1000.0,0.005,3.0,turbulent,True,13.53986512694183
1000.0,0.005,5.0,turbulent,True,20.488689670871885
1000.0,0.01,0.1,turbulent,True,22.10861570747063
1000.0,0.01,0.46578947368421053,turbulent,True,14.10796817406346
1000.0,0.01,0.5,turbulent,True,13.669215856956335
1000.0,0.01,0.6736842105263159,turbulent,True,12.128966196636568
1000.0,0.01,0.8815789473684211,turbulent,True,11.150099437524805
1000.0,0.01,1.0894736842105264,turbulent,True,10.768713223070963
1000.0,0.01,1.2973684210526317,turbulent,True,10.655135247671087
1000.0,0.01,1.5,turbulent,True,10.704042551874828
1000.0,0.01,1.5052631578947369,turbulent,True,10.708607673897687
1000.0,0.01,1.7131578947368422,turbulent,True,10.965382902626036
1000.0,0.01,1.9210526315789476,turbulent,True,11.502783834686062
1000.0,0.01,2.1289473684210525,turbulent,True,12.19900831565302
1000.0,0.01,2.3368421052631576,turbulent,True,13.09212261668075
1000.0,0.01,3.0,turbulent,True,16.789009773815167
