Re,S,Lambda,regime,converged,viscosity_ratio
100.0,0.005,0.0,laminar,True,7.339443954769021
100.0,0.005,0.01,laminar,True,7.3299494143340205
100.0,0.005,0.05,laminar,True,7.314661531727483
100.0,0.005,0.1,laminar,True,7.320741338342024
100.0,0.005,0.25,laminar,True,7.3394327557424575
100.0,0.005,0.5,laminar,True,7.339432575176695
100.0,0.005,1.0,laminar,True,7.33943221405182
100.0,0.005,2.0,laminar,True,7.339431491819889
100.0,0.005,5.0,laminar,True,7.339429325115076
100.0,0.01,0.0,laminar,True,7.339443954769021
100.0,0.01,0.01,laminar,True,7.336873669604371
100.0,0.01,0.05,laminar,True,7.332328334914563
100.0,0.01,0.1,laminar,True,7.3339849336545555
100.0,0.01,0.25,laminar,True,7.339432898437563
100.0,0.01,0.5,laminar,True,7.33943286056883
100.0,0.01,1.0,laminar,True,7.339432784832479
100.0,0.01,2.0,laminar,True,7.33943263336009
100.0,0.01,5.0,laminar,True,7.339432178953378
100.0,0.05,0.0,laminar,True,7.339443954769021
100.0,0.05,0.01,laminar,True,7.339441270966154
100.0,0.05,0.05,laminar,True,7.339433574884671
100.0,0.05,0.1,laminar,True,7.33942972947956
100.0,0.05,0.25,laminar,True,7.3394329362883175
100.0,0.05,0.5,laminar,True,7.339432936270948
100.0,0.05,1.0,laminar,True,7.339432936236083
100.0,0.05,2.0,laminar,True,7.339432936166795
100.0,0.05,5.0,laminar,True,7.3394329359587935
100.0,0.1,0.0,laminar,True,7.339443954769021
100.0,0.1,0.01,laminar,True,7.339442894307001
100.0,0.1,0.05,laminar,True,7.33943863846305
100.0,0.1,0.1,laminar,True,7.339433662254008
100.0,0.1,0.25,laminar,True,7.33943293630488
100.0,0.1,0.5,laminar,True,7.33943293630407
100.0,0.1,1.0,laminar,True,7.339432936302079
100.0,0.1,2.0,laminar,True,7.339432936298902
100.0,0.1,5.0,laminar,True,7.3394329362887785
100.0,0.5,0.0,laminar,True,7.339443954769021
100.0,0.5,0.01,laminar,True,7.339442949640643
100.0,0.5,0.05,laminar,True,7.339438802812463
