Re,S,Lambda,regime,converged,viscosity_ratio
100,0.005,0.0,laminar,True,7.315999397014934
100,0.005,0.01,laminar,True,7.276497942478473
100,0.005,0.05,laminar,True,7.178571064145165
100,0.005,0.1,laminar,True,7.121935524724051
100,0.005,0.25,laminar,True,7.2216780697918415
100,0.005,0.5,laminar,True,7.3159108813972
100,0.005,1.0,laminar,True,7.31591042835539
100,0.005,2.0,laminar,True,7.315909522204442
100,0.005,5.0,laminar,True,7.315906803360619
100,0.01,0.0,laminar,True,7.315999397014934
100,0.01,0.01,laminar,True,7.30019076910912
100,0.01,0.05,laminar,True,7.25928415553498
100,0.01,0.1,laminar,True,7.240919984153715
100,0.01,0.25,laminar,True,7.284317860735592
100,0.01,0.5,laminar,True,7.315911190486748
100,0.01,1.0,laminar,True,7.315911046640666
100,0.01,2.0,laminar,True,7.315910758893855
100,0.01,5.0,laminar,True,7.315909895554885
100,0.05,0.0,laminar,True,7.315999397014934
100,0.05,0.01,laminar,True,7.3159316002864685
100,0.05,0.05,laminar,True,7.315730301935846
100,0.05,0.1,laminar,True,7.315611378223958
100,0.05,0.25,laminar,True,7.315778761944178
100,0.05,0.5,laminar,True,7.315911333952657
100,0.05,1.0,laminar,True,7.3159113335888035
100,0.05,2.0,laminar,True,7.315911332861274
100,0.05,5.0,laminar,True,7.315911330678834
100,0.1,0.0,laminar,True,7.315999397014934
100,0.1,0.01,laminar,True,7.31599441402734
100,0.1,0.05,laminar,True,7.315975376462114
100,0.1,0.1,laminar,True,7.315952652950496
100,0.1,0.25,laminar,True,7.315910495389925
100,0.1,0.5,laminar,True,7.315911334310596
100,0.1,1.0,laminar,True,7.315911334305143
100,0.1,2.0,laminar,True,7.315911334294044
100,0.1,5.0,laminar,True,7.315911334260686
100,0.5,0.0,laminar,True,7.315999397014934
100,0.5,0.01,laminar,True,7.315995264512429
100,0.5,0.05,laminar,True,7.315978749714834
100,0.5,0.1,laminar,True,7.315957187104406
100,0.5,0.25,laminar,True,7.315910264134674
100,0.5,0.5,laminar,True,7.315911334315706
100,0.5,1.0,laminar,True,7.315911334314944
100,0.5,2.0,laminar,True,7.315911334313832
100,0.5,5.0,laminar,True,7.315911334310113
200,0.005,0.0,turbulent,True,13.088445602202786
200,0.005,0.01,turbulent,True,12.900699399241615
200,0.005,0.05,turbulent,True,12.292303383941805
200,0.005,0.1,turbulent,True,11.832058922995222
200,0.005,0.25,turbulent,True,11.43619737161339
200,0.005,0.5,turbulent,True,12.320010019026908
200,0.005,1.0,turbulent,True,13.076551268594336
200,0.005,2.0,turbulent,True,13.08771774193797
200,0.005,5.0,turbulent,True,13.087708827231776
200,0.01,0.0,turbulent,True,13.088445602202786
200,0.01,0.01,turbulent,True,13.004879392740348
200,0.01,0.05,turbulent,True,12.735710846342283
200,0.01,0.1,turbulent,True,12.439588866023355
200,0.01,0.25,turbulent,True,12.200977749312905
200,0.01,0.5,turbulent,True,12.612151998721702
200,0.01,1.0,turbulent,True,13.08236124130093
200,0.01,2.0,turbulent,True,13.087721575426256
200,0.01,5.0,turbulent,True,13.087718409846794
200,0.05,0.0,turbulent,True,13.088445602202786
200,0.05,0.01,turbulent,True,13.088017717817829
200,0.05,0.05,turbulent,True,13.086534537193343
200,0.05,0.1,turbulent,True,13.085150540537748
200,0.05,0.25,turbulent,True,13.083589573879808
200,0.05,0.5,turbulent,True,13.086319128103138
200,0.05,1.0,turbulent,True,13.087702319351763
200,0.05,2.0,turbulent,True,13.087723679955904
200,0.05,5.0,turbulent,True,13.087723670325085
200,0.1,0.0,turbulent,True,13.088445602202786
200,0.1,0.01,turbulent,True,13.088423515140851
200,0.1,0.05,turbulent,True,13.088338226577084
200,0.1,0.1,turbulent,True,13.08823810516468
200,0.1,0.25,turbulent,True,13.087963159658413
200,0.1,0.5,turbulent,True,13.087725023702243
200,0.1,1.0,turbulent,True,13.087723738051526
200,0.1,2.0,turbulent,True,13.087723686263805
200,0.1,5.0,turbulent,True,13.087723686107848
200,0.5,0.0,turbulent,True,13.088445602202786
200,0.5,0.01,turbulent,True,13.088429564347084
200,0.5,0.05,turbulent,True,13.088365510989236
200,0.5,0.1,turbulent,True,13.088285391401092
200,0.5,0.25,turbulent,True,13.08802510761899
200,0.5,0.5,turbulent,True,13.08772119151908
200,0.5,1.0,turbulent,True,13.087723602783061
200,0.5,2.0,turbulent,True,13.087723686358887
200,0.5,5.0,turbulent,True,13.087723686344521
300,0.005,0.0,turbulent,True,18.42672935568471
300,0.005,0.01,turbulent,True,17.993825857504223
300,0.005,0.05,laminar,True,9.32942286243734
300,0.005,0.1,turbulent,True,15.376796121079144
300,0.005,0.25,turbulent,True,13.674488955904398
300,0.005,0.5,laminar,True,7.965694619159249
300,0.005,1.0,turbulent,True,17.251431465212264
300,0.005,2.0,turbulent,True,18.42413615131633
300,0.005,5.0,turbulent,True,18.424118903383526
300,0.01,0.0,turbulent,True,18.42672935568471
300,0.01,0.01,turbulent,True,18.22381035196776
300,0.01,0.05,turbulent,True,17.53082422031313
300,0.01,0.1,laminar,True,9.347746335613559
300,0.01,0.25,turbulent,True,15.762964792515284
300,0.01,0.5,turbulent,True,15.702186085204215
300,0.01,1.0,laminar,True,9.283852328676591
300,0.01,2.0,turbulent,True,18.42414335957977
300,0.01,5.0,turbulent,True,18.42413691984308
300,0.05,0.0,turbulent,True,18.42672935568471
300,0.05,0.01,turbulent,True,18.42560317234973
300,0.05,0.05,turbulent,True,18.421496996456636
300,0.05,0.1,turbulent,True,18.417194307073867
300,0.05,0.25,turbulent,True,18.409221629079312
300,0.05,0.5,turbulent,True,18.408822062785628
300,0.05,1.0,turbulent,True,18.422033777384076
300,0.05,2.0,turbulent,True,18.424147640660195
300,0.05,5.0,turbulent,True,18.42414761973706
300,0.1,0.0,turbulent,True,18.42672935568471
300,0.1,0.01,turbulent,True,18.426673915254714
300,0.1,0.05,turbulent,True,18.426458093860067
300,0.1,0.1,turbulent,True,18.4262012452223
300,0.1,0.25,turbulent,True,18.4255103073602
300,0.1,0.5,turbulent,True,18.424585569555795
300,0.1,1.0,turbulent,True,18.424154464943648
300,0.1,2.0,turbulent,True,18.42414765435048
300,0.1,5.0,turbulent,True,18.424147653966067
300,0.5,0.0,turbulent,True,18.42672935568471
300,0.5,0.01,turbulent,True,18.426692687131748
300,0.5,0.05,turbulent,True,18.426546145156244
300,0.5,0.1,turbulent,True,18.426363022851593
300,0.5,0.25,turbulent,True,18.4258087847441
300,0.5,0.5,turbulent,True,18.424823716518503
300,0.5,1.0,turbulent,True,18.42413929050247
300,0.5,2.0,turbulent,True,18.42414765458521
300,0.5,5.0,turbulent,True,18.424147654553185
500,0.005,0.0,turbulent,True,28.460309114779413
500,0.005,0.01,turbulent,True,27.322102552190522
500,0.005,0.05,turbulent,True,23.566024575138645
