Re,S,Lambda,regime,converged,viscosity_ratio
500.0,0.01,0.15000000000000002,turbulent,True,22.297482559685083
500.0,0.01,0.2,turbulent,True,21.182486061061258
500.0,0.01,0.3,turbulent,True,12.017087325932794
500.0,0.01,0.35000000000000003,turbulent,True,19.142286856510722
500.0,0.01,0.4,turbulent,True,18.765977008680053
500.0,0.01,0.45,turbulent,True,18.489379626729704
500.0,0.01,0.55,turbulent,True,18.29354943340521
500.0,0.01,0.6000000000000001,turbulent,True,11.100348378592921
500.0,0.01,0.6500000000000001,turbulent,True,11.013476237473371
500.0,0.01,0.7000000000000001,turbulent,True,10.958871673958575
500.0,0.01,0.7500000000000001,turbulent,True,10.932960515211228
500.0,0.01,0.8,turbulent,True,10.932589436909012
500.0,0.01,0.8500000000000001,turbulent,True,10.957291696925441
500.0,0.01,0.9000000000000001,turbulent,True,11.006715695803905
500.0,0.01,0.9500000000000001,turbulent,True,19.33194008136197
500.0,0.01,1.05,turbulent,True,20.17816784877397
500.0,0.01,1.1,turbulent,True,20.67323313157348
500.0,0.01,1.1500000000000001,turbulent,True,21.222011853974404
500.0,0.01,1.2000000000000002,turbulent,True,21.81443432501575
500.0,0.01,1.2500000000000002,turbulent,True,22.427896907075684
500.0,0.01,1.3,turbulent,True,11.721391002996528
500.0,0.01,1.35,turbulent,True,11.892622591654908
500.0,0.01,1.4000000000000001,turbulent,True,12.076239278513997
500.0,0.01,1.4500000000000002,turbulent,True,12.271676874399898
500.0,0.01,1.5000000000000002,turbulent,True,24.411792257132372
500.0,0.01,1.55,turbulent,True,24.669303899565737
500.0,0.01,1.6,turbulent,True,24.89516137413162
500.0,0.01,1.6500000000000001,turbulent,True,25.098479072641727
500.0,0.01,1.7000000000000002,turbulent,True,25.284075303124578
500.0,0.01,1.7500000000000002,turbulent,True,25.461537537781297
500.0,0.01,1.8,turbulent,True,25.624184041278696
500.0,0.01,1.85,turbulent,True,25.781527706717064
500.0,0.01,1.9000000000000001,turbulent,True,25.943326192823307
500.0,0.01,1.9500000000000002,turbulent,True,26.099344136468112
500.0,0.01,2.05,turbulent,True,13.566359679431729
500.0,0.01,2.1,turbulent,True,13.670964081418573
500.0,0.01,2.15,turbulent,True,13.777519569965216
500.0,0.01,2.1999999999999997,turbulent,True,13.881749602162662
500.0,0.01,2.25,turbulent,True,13.972360278037801
500.0,0.01,2.3,turbulent,True,14.055023143115314
500.0,0.01,2.35,turbulent,True,14.145410062010708
500.0,0.01,2.4,turbulent,True,27.57754985584159
500.0,0.01,2.45,turbulent,True,27.666137261451016
500.0,0.01,2.5,turbulent,True,27.75475541398743
500.0,0.01,2.55,turbulent,True,27.842163314590113
500.0,0.01,2.6,turbulent,True,27.866843437199638
500.0,0.01,2.65,turbulent,True,27.97012536795024
500.0,0.01,2.7,turbulent,True,28.06891838928389
500.0,0.01,2.75,turbulent,True,28.161787588462687
500.0,0.01,2.8,turbulent,True,28.247043488813794
500.0,0.01,2.85,turbulent,True,28.32264768288583
500.0,0.01,2.9,turbulent,True,28.385795245498407
500.0,0.01,2.95,turbulent,True,28.432075526153962
750.0,0.01,0.15000000000000002,turbulent,True,17.193890131892314
750.0,0.01,0.2,turbulent,True,16.14301580375916
750.0,0.01,0.3,turbulent,True,14.729647058693846
750.0,0.01,0.35000000000000003,turbulent,True,20.97714420726753
750.0,0.01,0.4,turbulent,True,13.693470500246521
750.0,0.01,0.45,turbulent,True,13.215594289265685
750.0,0.01,0.55,turbulent,True,12.59795032629161
750.0,0.01,0.6000000000000001,turbulent,True,12.297208082549151
750.0,0.01,0.6500000000000001,turbulent,True,12.053393944043554
750.0,0.01,0.7000000000000001,turbulent,True,11.8577013289862
750.0,0.01,0.7500000000000001,turbulent,True,11.696530405426314
